,link_item,data_product_id_list,data_product_id,name_comment,content_comment,product_variant,datetime_comment,rating
0,https://hasaki.vn/san-pham/thuoc-nhuom-toc-phu-bac-dang-kem-bigen-882-nau-den-98129.html,"['14394', '14379', '14397', '14388', '14403', '98129', '98127', '14409']",98129,Tâm Nguyễn,"Tóc mình nhuộm nâu cách đây 6 tháng, giờ nhuộm màu đen này có bắt nền tóc ko nhỉ?",Thuốc Nhuộm Tóc Bigen Phủ Bạc Dạng Kem 882 Nâu Đen 80ml Đã mua hàng online,10: 03 | 18/08/2023,4.0
1,https://hasaki.vn/san-pham/thuoc-nhuom-toc-phu-bac-dang-kem-bigen-882-nau-den-98129.html,"['14394', '14379', '14397', '14388', '14403', '98129', '98127', '14409']",98129,Sea Angel,minh thường mua cho ba mẹ dùng vừa an toàn vừa phủ bạc tốt,Thuốc Nhuộm Tóc Bigen Phủ Bạc Dạng Kem 881 Đen Tự Nhiên 80ml Đã mua hàng online,09: 15 | 25/11/2022,5.0
2,https://hasaki.vn/san-pham/thuoc-nhuom-toc-phu-bac-dang-kem-bigen-882-nau-den-98129.html,"['14394', '14379', '14397', '14388', '14403', '98129', '98127', '14409']",98129,Võ Hồng Hậu,"Mua cho ba tóc bạc nhiều, xài cái này tiết kiệm, phủ bạc dậm chân được nhiều lần, cũng dễ làm, người lớn vẫn tự làm được, ok nha",Thuốc Nhuộm Tóc Bigen Phủ Bạc Dạng Kem 881 Đen Tự Nhiên 80ml,13: 45 | 23/11/2022,5.0
3,https://hasaki.vn/san-pham/thuoc-nhuom-toc-phu-bac-dang-kem-bigen-882-nau-den-98129.html,"['14394', '14379', '14397', '14388', '14403', '98129', '98127', '14409']",98129,huynh cam tu,"Sản phẩm không làm tóc sơ, rối, dù tóc dài, ăn bạc nhanh và tiện sử dụng",Thuốc Nhuộm Tóc Bigen Phủ Bạc Dạng Kem 882 Nâu Đen 80ml,16: 13 | 15/11/2022,5.0
4,https://hasaki.vn/san-pham/thuoc-nhuom-toc-phu-bac-dang-kem-bigen-882-nau-den-98129.html,"['14394', '14379', '14397', '14388', '14403', '98129', '98127', '14409']",98129,Bé Trâu,"mình mua hộp này về cho ba mình xài thử, ba kêu nhuộm tiện, dễ sử dụng mà còn lên màu đẹp nữa",Thuốc Nhuộm Tóc Bigen Phủ Bạc Dạng Kem 881 Đen Tự Nhiên 80ml Đã mua hàng online,16: 05 | 15/11/2022,5.0
5,https://hasaki.vn/san-pham/thuoc-nhuom-toc-phu-bac-dang-kem-bigen-882-nau-den-98129.html,"['14394', '14379', '14397', '14388', '14403', '98129', '98127', '14409']",98129,Lê Duyên,"Đã dùng thử và thuốc nhuộm ok nha, siêu tốt",Thuốc Nhuộm Tóc Bigen Phủ Bạc Dạng Kem 881 Đen Tự Nhiên 80ml Đã mua hàng online,15: 06 | 14/11/2022,5.0
6,https://hasaki.vn/san-pham/thuoc-nhuom-toc-phu-bac-dang-kem-bigen-882-nau-den-98129.html,"['14394', '14379', '14397', '14388', '14403', '98129', '98127', '14409']",98129,Tâm Trương,Sản phẩm dùng tốt,Thuốc Nhuộm Tóc Bigen Phủ Bạc Dạng Kem 881 Đen Tự Nhiên 80ml,14: 08 | 14/11/2022,5.0
7,https://hasaki.vn/san-pham/thuoc-nhuom-toc-phu-bac-dang-kem-bigen-882-nau-den-98129.html,"['14394', '14379', '14397', '14388', '14403', '98129', '98127', '14409']",98129,Anh Hue Lynn,"Về nhuộm tóc bạc thì hãng này là best rồi. Bữa mua thử màu này để thử nhuộm màu thời trang mà lên màu đẹp cũng ghê. Vẫn che được tóc bạc mà tóc còn có ánh nâu nhẹ, nhìn tôn da.",Thuốc Nhuộm Tóc Bigen Phủ Bạc Dạng Kem 875 Nâu Đồng 80ml,10: 41 | 14/11/2022,5.0
8,https://hasaki.vn/san-pham/thuoc-nhuom-toc-phu-bac-dang-kem-bigen-882-nau-den-98129.html,"['14394', '14379', '14397', '14388', '14403', '98129', '98127', '14409']",98129,Trang Anh,Mua phủ bạc cho ba mẹ là mình chỉ mua cái này. 1 hộp là cả ba cả mẹ dùng được luôn. nhuộm bạc dễ mà lại nhanh.,Thuốc Nhuộm Tóc Bigen Phủ Bạc Dạng Kem 883 Nâu Sẫm 80ml,02: 54 | 14/11/2022,5.0
9,https://hasaki.vn/san-pham/thuoc-nhuom-toc-phu-bac-dang-kem-bigen-882-nau-den-98129.html,"['14394', '14379', '14397', '14388', '14403', '98129', '98127', '14409']",98129,C HUYEN,"Hàng chất lượng, giá tốt, phủ bạc là mình chỉ dùng loại này.",Thuốc Nhuộm Tóc Bigen Phủ Bạc Dạng Kem 882 Nâu Đen 80ml,02: 28 | 14/11/2022,5.0
10,https://hasaki.vn/san-pham/dau-olive-milaganics-nguyen-chat-duong-da-duong-toc-250ml-101513.html,"['101513', '101497']",101513,C LY,"Dầu olive ok lắm rẻ ,mình mua để ủ tóc với trái cây và làm hỗn hợp đắp mặt cùng bột thiên nhiên. Ủ tóc mềm lắm nhen ( Ct ủ của mình 2 chuối chín, muỗng dầu olive, ít bia hoặc gel nha đam xay nhuyễn mịn, ủ bao mềm mượt)","Dầu Olive Milaganics Nguyên Chất Dưỡng Da, Dưỡng Tóc 250ml Đã mua hàng online",15: 35 | 24/07/2023,5.0
11,https://hasaki.vn/san-pham/dau-goi-milaganics-tinh-dau-buoi-kich-thich-moc-toc-280ml-moi-101383.html,[''],101383,TRÂN NGỌC,"Dầu gội ổn, thơm mùi bưởi, gội 1tgian thì k còn ngứa da đầu, nhưng packaging 1 sao - đã khóa vòi rồi nhưng khi đem đi vẫn có dầu gội bị đổ ra",Dầu Gội Milaganics Tinh Dầu Bưởi Kích Thích Mọc Tóc 280ml (Mới) Đã mua hàng online,16: 02 | 26/01/2023,4.0
12,https://hasaki.vn/san-pham/dau-goi-kho-colab-extreme-volume-lam-phong-toc-200ml-102069.html,"['102073', '102055', '102065', '102069', '102067', '102057', '102071', '102063', '102061', '103971', '102059']",102069,Uyen Nguyen,"Loại này mình thấy ok hơn hãng Bastite nha. Ko làm khô, xơ vs dít tóc mà có thể để đc 2 ngày (mình đã test). Da đầu mình siêu dầu luôn. Tuy nhiên có điểm trừ đó là ko phồng tóc đâu. Chắc muốn phồng p mua loại volume. Mùi hương lạ lắm mình thích :3",Dầu Gội Khô Colab Unicorn Hương Cổ Tích 200ml Đã mua hàng online,22: 21 | 19/05/2023,5.0
