,link_item,data_product_id_list,data_product_id,name_comment,content_comment,product_variant,datetime_comment,rating
0,https://hasaki.vn/san-pham/tinh-chat-bi-dao-cocoon-lam-giam-mun-mo-tham-70ml-moi-96811.html,"['96811', '109272']",96811,c. MY,"xài tốt, mình mua nồng độ 7% để quen dần với nia, lúc đầu xài còn lên mụn, về sau quen rồi thì trị thâm trị mụn luôn","Serum Bí Đao Cocoon Làm Giảm Mụn, Mờ Thâm 70ml Đã mua hàng online",08: 05 | 19/11/2023,5.0
1,https://hasaki.vn/san-pham/tinh-chat-bi-dao-cocoon-lam-giam-mun-mo-tham-70ml-moi-96811.html,"['96811', '109272']",96811,Vĩnh Tường,"Serum nhờn rít, không hợp với da dầu như quảng cáo, thoa lên để lâu trên da vẫn còn 1 lớp rất nặng mặt","Serum Bí Đao Cocoon Làm Giảm Mụn, Mờ Thâm 70ml (Mới) Đã mua hàng online",14: 10 | 15/07/2023,3.0
2,https://hasaki.vn/san-pham/tinh-chat-bi-dao-cocoon-lam-giam-mun-mo-tham-70ml-moi-96811.html,"['96811', '109272']",96811,Trần Thị Kim Lài,Minh mua dùng thử nhưng ko hợp còn toner + serum bí đau ai lấy inbox mình nha 0931793958,"Serum Bí Đao Cocoon Làm Giảm Mụn, Mờ Thâm 70ml (Mới) Đã mua hàng online",14: 06 | 16/03/2023,5.0
3,https://hasaki.vn/san-pham/tinh-chat-bi-dao-cocoon-lam-giam-mun-mo-tham-70ml-moi-96811.html,"['96811', '109272']",96811,Minh Duong Quang,Bao bì đẹp và nặng chắc tay nhé❤️‍,"Serum Bí Đao Cocoon Làm Giảm Mụn, Mờ Thâm 70ml (Mới) Đã mua hàng online",10: 54 | 12/02/2023,5.0
4,https://hasaki.vn/san-pham/tinh-chat-bi-dao-cocoon-lam-giam-mun-mo-tham-70ml-moi-96811.html,"['96811', '109272']",96811,Huỳnh Diệu Thùy,"Mình dùng bản cũ thấy ổn hơn, bản mới dùng da khá rít dù để rất lâu cũng vẫn rít. Được cái không lên mụn, với gom cồi mụn ổn áp. Nhưng chắc do sản phẩm có BHA nên mình dùng mỗi ngày da bị bong tróc với hơi mẫn cảm.","Tinh Chất Bí Đao Cocoon Làm Giảm Mụn, Mờ Thâm 70ml (Mới) Đã mua hàng online",18: 59 | 18/12/2022,3.0
5,https://hasaki.vn/san-pham/tinh-chat-bi-dao-cocoon-lam-giam-mun-mo-tham-70ml-moi-96811.html,"['96811', '109272']",96811,Nguyễn Quỳnh Như,"Mình dùng không hợp, bị lên mụn, chắc do serum kiềm dầu nhiều trong khi da mình là da thường","Tinh Chất Bí Đao Cocoon Làm Giảm Mụn, Mờ Thâm 70ml (Mới) Đã mua hàng online",14: 27 | 23/11/2022,4.0
6,https://hasaki.vn/san-pham/tinh-chat-bi-dao-cocoon-lam-giam-mun-mo-tham-70ml-moi-96811.html,"['96811', '109272']",96811,chi Ngan,"xài không hợp, mụn đẩy lên rất nhiều","Tinh Chất Bí Đao Cocoon Làm Giảm Mụn, Mờ Thâm 70ml (Mới) Đã mua hàng online",11: 13 | 18/11/2022,3.0
7,https://hasaki.vn/san-pham/tinh-chat-bi-dao-cocoon-lam-giam-mun-mo-tham-70ml-moi-96811.html,"['96811', '109272']",96811,CHI TINH,Đã mua offline. Serum t thấy đặc hơn nước xíu. Dùng bị lên mụn nước li ti. Bất chấp dùng thì thấy có giảm thâm và trắng da. Da t kh dùng được kem chống nắng và che chắn bình thường. Có giảm mụn mà rất chậm.,"Tinh Chất Bí Đao Cocoon Làm Giảm Mụn, Mờ Thâm 70ml (Mới) Đã mua hàng online",09: 20 | 29/09/2022,5.0
8,https://hasaki.vn/san-pham/tinh-chat-bi-dao-cocoon-lam-giam-mun-mo-tham-70ml-moi-96811.html,"['96811', '109272']",96811,Ngọc Nguyễn,"giá mình bị mụn chai với mụn có nhân mình dùng 10 ngày thì giảm rõ rệt gần như hết mụn luôn, giảm thâm thì có nhưng tác dụng chậm hơn so với giảm mụn","Tinh Chất Bí Đao Cocoon Làm Giảm Mụn, Mờ Thâm 70ml (Mới) Đã mua hàng online",18: 48 | 13/08/2022,5.0
9,https://hasaki.vn/san-pham/tinh-chat-bi-dao-cocoon-lam-giam-mun-mo-tham-70ml-moi-96811.html,"['96811', '109272']",96811,Cao Thị Hồng Ngọc,"mình xài thấy rất hài lòng về sản phẩm này, lỏng thấm thấu nhanh thích hợp với da dầu như mình, giảm mụn hẳn","Tinh Chất Bí Đao Cocoon Làm Giảm Mụn, Mờ Thâm 70ml (Mới) Đã mua hàng online",23: 42 | 13/07/2022,5.0
10,https://hasaki.vn/san-pham/kem-chong-nang-vichy-ngua-sam-da-giam-tham-nam-mau-da-50ml-1944.html,[''],1944,chị Chi,"da trung bình, khô đánh rất hợp, như 1 lớp trang điểm nhẹ nhàng. Tốt",Kem Chống Nắng Vichy Thoáng Mịn Ngăn Sạm Da Có Màu 50ml Đã mua hàng online,07: 44 | 24/02/2024,5.0
11,https://hasaki.vn/san-pham/kem-chong-nang-vichy-ngua-sam-da-giam-tham-nam-mau-da-50ml-1944.html,[''],1944,hồ lê huỳnh,"Da mình bị nám sắc tố nên xài dòng này rất ưng, tuy thoa hơi cực vì có màu như đánh phấn trang điểm nhưng nhờ vậy mà che được khuyết điểm nám mà các dòng sp khác chuyên về che khuyết điểm lại không làm dc (sp chuyên che khuyết điểm sau 2 tiếng tuột màu, nám nhìn rỏ hơn), sp này giúp da đều màu… và quan trọng là chống nắng!",Kem Chống Nắng Vichy Thoáng Mịn Ngăn Sạm Da Có Màu 50ml Đã mua hàng online,11: 30 | 11/06/2023,5.0
12,https://hasaki.vn/san-pham/kem-chong-nang-vichy-ngua-sam-da-giam-tham-nam-mau-da-50ml-1944.html,[''],1944,Bao An,mn đừng mua dòng này nha. kcn gì đâu mà bôi lên vàng khè như bôi nghệ.,Kem Chống Nắng Vichy Ngừa Sạm & Thâm Nám (Màu Da) 50ml Đã mua hàng online,14: 02 | 05/11/2022,1.0
13,https://hasaki.vn/san-pham/kem-chong-nang-vichy-ngua-sam-da-giam-tham-nam-mau-da-50ml-1944.html,[''],1944,Mai Anh,"Chất kem giống như kem nền, ai đi làm mà muốn make thì dùng em này hợp lý, mình cần tìm loại k nâng tông, pass nhanh gọn cho bạn nào cần 0988550521",Kem Chống Nắng Vichy Ngừa Sạm & Thâm Nám (Màu Da) 50ml Đã mua hàng online,16: 26 | 02/06/2022,4.0
14,https://hasaki.vn/san-pham/kem-chong-nang-vichy-ngua-sam-da-giam-tham-nam-mau-da-50ml-1944.html,[''],1944,Đặng Thủy,"mình ko nhìn kĩ mua thành màu da, dính khẩu trang, hơi bết khó tán",Kem Chống Nắng Vichy Ngừa Sạm & Thâm Nám (Màu Da) 50ml Đã mua hàng online,11: 42 | 21/04/2022,5.0
