,link_item,data_product_id_list,data_product_id,name_comment,content_comment,product_variant,datetime_comment,rating
0,https://hasaki.vn/san-pham/mat-na-rainbow-l-affair-mat-ong-duong-am-da-25g-14208.html,[''],14208,Bảo Ngọc,"Da mình da hỗn thiên khô và dùng mask này rất thích, manh cảm giác thoải mái và mát mẻ, không bị kích ứng. Ny mình là da dầu, sử dụng mask này cảm giác hơi nóng. Về phần mùi thì mình thấy nó giống mùi mật ong lên men (uống giải rượu) nên mình cảm thấy bình thường, không khó chịu.",Mặt Nạ Rainbow L’affair Mật Ong Dưỡng Ẩm Da 25g Đã mua hàng online,00: 35 | 01/02/2024,5.0
1,https://hasaki.vn/san-pham/mat-na-rainbow-l-affair-mat-ong-duong-am-da-25g-14208.html,[''],14208,Như Quỳnhh,Mình thấy mặt nạ này đắp cũng ok nma ko thích mùi với chất liệu giấy thấy . Ai ko thích mùi giống hương liệu thì cân nhắc khi mua nhe dc cái giá rẻ,Mặt Nạ Rainbow L’affair Mật Ong Dưỡng Ẩm Da 25g,15: 17 | 02/09/2023,3.0
2,https://hasaki.vn/san-pham/mat-na-rainbow-l-affair-mat-ong-duong-am-da-25g-14208.html,[''],14208,Thúy Huỳnh,"dùng tốt, da mịn màng hơn hẳn",Mặt Nạ Rainbow L’affair Mật Ong Dưỡng Ẩm Da 25g Đã mua hàng online,08: 51 | 18/07/2023,5.0
3,https://hasaki.vn/san-pham/mat-na-rainbow-l-affair-mat-ong-duong-am-da-25g-14208.html,[''],14208,TRAN HA THAO HIEN,"Quá ổn. Dưỡng chất sánh mịn, đắp lên thích. Chỉ có form dáng miếng mặt nạ ko đẹp nhưng ko thành vấn đề",Mặt Nạ Rainbow L’affair Mật Ong Dưỡng Ẩm Da 25g Đã mua hàng online,12: 30 | 11/06/2023,5.0
4,https://hasaki.vn/san-pham/mat-na-rainbow-l-affair-mat-ong-duong-am-da-25g-14208.html,[''],14208,Khưu Khả Vy,"Ưu điểm: Mặt nạ thơm, đắp xong cấp ấm tức thì, mịn da, sale giá rẻ lắm Nhược điểm: Không hiểu sao thấy hơi khó đắp một tí (kiểu form mặt nạ hơi kì sao á) => giá rẻ mà chất lượng vậy là ổn rồi",Mặt Nạ Rainbow L’affair Mật Ong Dưỡng Ẩm Da 25g,12: 38 | 25/03/2023,5.0
5,https://hasaki.vn/san-pham/mat-na-rainbow-l-affair-mat-ong-duong-am-da-25g-14208.html,[''],14208,Nguyễn Thị Huyền,Mặt nạ dùng thích mà giá rẻ nữa,Mặt Nạ Rainbow L’affair Mật Ong Dưỡng Ẩm Da 25g Đã mua hàng online,21: 42 | 12/03/2023,5.0
6,https://hasaki.vn/san-pham/mat-na-rainbow-l-affair-mat-ong-duong-am-da-25g-14208.html,[''],14208,LÀI,Rất thích da căng mịn sau 1lần đắp,Mặt Nạ Rainbow L’affair Mật Ong Dưỡng Ẩm Da 25g Đã mua hàng online,19: 41 | 30/09/2022,5.0
7,https://hasaki.vn/san-pham/mat-na-rainbow-l-affair-mat-ong-duong-am-da-25g-14208.html,[''],14208,Huỳnh Hồng Tơ,"Mặt nạ này giá quá tốt so với chất lượng nha mn. Đắp 20p xong rửa mặt thấy da sáng hẳn lên, ẩm mịn. Mua lun 30m về đắp dần. Mặt nạ giấy mình đắp thử nhiều loại rùi, ưng loại này vs BNBG nhất.",Mặt Nạ Rainbow L’affair Mật Ong Dưỡng Ẩm Da 25g Đã mua hàng online,15: 20 | 09/09/2022,5.0
8,https://hasaki.vn/san-pham/mat-na-rainbow-l-affair-mat-ong-duong-am-da-25g-14208.html,[''],14208,Nguyễn Ngọc Trâm,"Mình mới đắp hôm trước, cũng là thử lần đầu, mà chất lượng không ngờ nha mọi người. Mặt nạ nhiều dưỡng chất, sáng dậy thấy da căng bóng và mịn màng, có phần sáng hơn nữa. Nên mua, ngon bổ rẻ ạ.",Mặt Nạ Rainbow L’affair Mật Ong Dưỡng Ẩm Da 25g Đã mua hàng online,13: 34 | 16/02/2022,5.0
9,https://hasaki.vn/san-pham/mat-na-rainbow-l-affair-mat-ong-duong-am-da-25g-14208.html,[''],14208,Hoàng Lân,Ngon bo re,Mặt Nạ Dưỡng Da Rainbow L’affair Chiết Xuất Sáp Ong 25g Đã mua hàng online,08: 58 | 19/08/2021,5.0
