,link_item,data_product_id_list,data_product_id,name_comment,content_comment,product_variant,datetime_comment,rating
0,https://hasaki.vn/san-pham/dau-goi-pantene-ngan-rung-toc-300g-83555.html,"['83565', '83567', '83559', '90313', '83561', '90319', '83563', '83555', '94299', '90317']",83555,HƯƠNG GIANG,"Hasaki giao hàng rất chất lượng, kĩ càng. Sp dùng tốt, mượt tóc",Dầu Gội Pantene Ngăn Rụng Tóc 900ml Đã mua hàng online,22: 15 | 20/11/2023,5.0
1,https://hasaki.vn/san-pham/dau-goi-pantene-ngan-rung-toc-300g-83555.html,"['83565', '83567', '83559', '90313', '83561', '90319', '83563', '83555', '94299', '90317']",83555,Phương Lưu,ok lắm nha đúng là có làm chậm quá trình hư tổn á nhưng mà gội xong tóc hơi khô á dùng thêm dầu xả là cũng ok nha,Dầu Gội Pantene Phục Hồi Hư Tổn 650ml Đã mua hàng online,22: 24 | 26/02/2023,5.0
2,https://hasaki.vn/san-pham/dau-goi-pantene-ngan-rung-toc-300g-83555.html,"['83565', '83567', '83559', '90313', '83561', '90319', '83563', '83555', '94299', '90317']",83555,Ngọc Uyên,"Đúng với công dụng của sp, siêu mềm mượt óng ả luôn, gội xong k cần dùng dầu xả tóc vẫn mượt ! thích lắm luôn",Dầu Gội Pantene Dưỡng Tóc Suôn Mượt Óng Ả 900ml Đã mua hàng online,23: 23 | 18/10/2022,5.0
3,https://hasaki.vn/san-pham/dau-goi-pantene-ngan-rung-toc-300g-83555.html,"['83565', '83567', '83559', '90313', '83561', '90319', '83563', '83555', '94299', '90317']",83555,Nguyễn Hồng Ngân,"Mình chưa dùng qua quá nhiều loại dầu gội nhưng loại này là mình ưng nhất luôn (mình dùng loại màu hồng tím nhé). Minh dùng xong thì bên cạnh tóc và da đầu sạch thì tóc còn khoẻ và đỡ rụng hơn một chút, đã vậy mùi còn siêu ưng nữa, với mức giá này thì công dụng như thế là đã vượt ngoài mong đợi rồi. Theo mình thì nên dùng kèm với kem xả cùng dòng để tóc mềm mượt và giữ được mùi hương lâu hơn nha.",Dầu Gội Pantene Hair Fall Control Ngăn Rụng Tóc 900ml Đã mua hàng online,18: 34 | 26/04/2022,5.0
4,https://hasaki.vn/san-pham/dau-goi-pantene-ngan-rung-toc-300g-83555.html,"['83565', '83567', '83559', '90313', '83561', '90319', '83563', '83555', '94299', '90317']",83555,Hoai Mac Pham,"Hàng chính hãng, đóng gói cẩn thận, giá cạnh tranh",Dầu Gội Pantene Làm Sạch Và Ngăn Ngừa Gàu 650ml Đã mua hàng online,22: 05 | 04/05/2021,5.0
5,https://hasaki.vn/san-pham/dau-goi-pantene-ngan-rung-toc-300g-83555.html,"['83565', '83567', '83559', '90313', '83561', '90319', '83563', '83555', '94299', '90317']",83555,Kim Duyên,"Dầu Gội PANTENE Ngăn Rụng Tóc 300g , hàng rất ok tốt, giá hợp lý",Đã mua hàng online,12: 45 | 07/07/2020,5.0
6,https://hasaki.vn/san-pham/nuoc-duong-toc-cocoon-sa-chi-cap-am-phuc-hoi-hu-ton-140ml-100835.html,[''],100835,TIẾN ĐẠT,"dưỡng ẩm ổn dùng ít bị rụng tóc hơn, gây bết tóc","Nước Dưỡng Tóc Cocoon Sa-Chi Cấp Ẩm, Phục Hồi Hư Tổn 140ml Đã mua hàng online",15: 28 | 30/07/2023,4.0
7,https://hasaki.vn/san-pham/nuoc-duong-toc-cocoon-sa-chi-cap-am-phuc-hoi-hu-ton-140ml-100835.html,[''],100835,Thanh Ngân,"mùi thảo mộc thơm lắm á, dưỡng thấy tóc được cấp ẩm, cũng bóng bóng, thơm nữa, vòi xịt sa chi k bị tịt giống bưởi, xài oke sẽ mua lại","Nước Dưỡng Tóc Cocoon Sa-Chi Cấp Ẩm, Phục Hồi Hư Tổn 140ml Đã mua hàng online",07: 58 | 04/04/2023,5.0
8,https://hasaki.vn/san-pham/nuoc-duong-toc-cocoon-sa-chi-cap-am-phuc-hoi-hu-ton-140ml-100835.html,[''],100835,Thu Hằng,Dùng sẽ không thích bằng serum sachi ạ.,"Nước Dưỡng Tóc Cocoon Sa-Chi Cấp Ẩm, Phục Hồi Hư Tổn 140ml Đã mua hàng online",18: 50 | 18/08/2022,3.0
9,https://hasaki.vn/san-pham/kem-xa-pantene-cao-cap-3-phut-dieu-ky-ngan-rung-toc-300ml-83523.html,"['83521', '83547', '83523', '106023', '83525', '83519', '106025']",83523,Ngoc Dàng,"Tóc tui hay rụng lắm , trước sài xả dove rụng quá trời, nay đổi qua sài em nì tui thấy ok đó. Hầu như khi gội chỉ rụng k quá 7 sợi tóc. Ưng lắm.",Dầu Xả Pantene 3 Phút Diệu Kỳ Ngăn Rụng Tóc 150ml,09: 19 | 13/08/2023,5.0
10,https://hasaki.vn/san-pham/kem-xa-pantene-cao-cap-3-phut-dieu-ky-ngan-rung-toc-300ml-83523.html,"['83521', '83547', '83523', '106023', '83525', '83519', '106025']",83523,Nguyễn Thiên Linh,Dùng thơm mà mượt tóc nè. Đã mua lần 1 dùng hết nay mua lại,Dầu Xả Pantene 3 Phút Diệu Kỳ Phục Hồi Tóc Hư Tổn 300ml Đã mua hàng online,11: 36 | 02/04/2023,5.0
11,https://hasaki.vn/san-pham/kem-xa-pantene-cao-cap-3-phut-dieu-ky-ngan-rung-toc-300ml-83523.html,"['83521', '83547', '83523', '106023', '83525', '83519', '106025']",83523,Phụng Nguyễn,"150g mà như 50g, như ai dùng hết nữa tuyp",Kem Xả Pantene 3 Phút Diệu Kỳ Ngăn Rụng Tóc 150ml Đã mua hàng online,15: 56 | 20/07/2022,2.0
12,https://hasaki.vn/san-pham/dau-xa-buoi-milaganics-phuc-hoi-duong-toc-mem-muot-500ml-93865.html,"['93865', '92081', '92079', '93867']",93865,Lê Thị Huyền,mấy lần trước dầu gội màu trắng lần này mua dầu màu hồng không biết sao,Dầu Gội Milaganics Tinh Dầu Bưởi Kích Thích Mọc Tóc 500ml Đã mua hàng online,07: 13 | 25/09/2022,5.0
13,https://hasaki.vn/san-pham/dau-xa-buoi-milaganics-phuc-hoi-duong-toc-mem-muot-500ml-93865.html,"['93865', '92081', '92079', '93867']",93865,Nguyễn Như,"nên mua dùng ạ. mùi thơm hoa bưởi rất dễ chịu, tóc mình cũg khá khô là dùng mượt lắm. ko hề rít tóc!",Dầu Gội Milaganics Tinh Dầu Bưởi Kích Thích Mọc Tóc 250ml Đã mua hàng online,21: 39 | 22/09/2022,5.0
14,https://hasaki.vn/san-pham/dau-xa-buoi-milaganics-phuc-hoi-duong-toc-mem-muot-500ml-93865.html,"['93865', '92081', '92079', '93867']",93865,Phạm Hà,"Mình dùng dầu gội này bị ngứa da đầu. Mình gội đc 5 lần rồi mà vẫn bị ngứa dù xả tóc rất kỹ. Mùi dầu gội thơm, dễ chịu",Dầu Gội Milaganics Tinh Dầu Bưởi Kích Thích Mọc Tóc 500ml Đã mua hàng online,12: 43 | 22/09/2022,3.0
15,https://hasaki.vn/san-pham/dau-xa-buoi-milaganics-phuc-hoi-duong-toc-mem-muot-500ml-93865.html,"['93865', '92081', '92079', '93867']",93865,Lý Thị Huỳnh Như,"mình mới mua nên chưa trải nghiệm ạ chỉ dùng loại ủ của hãng này thấy OK lắm, mượt thơm nên thử mua luôn dầu gội để về trải nghiệm...sẽ quay lại đánh giá sau ạ do giá cả hợp lý nên cho 5 sao í",Dầu Gội Milaganics Tinh Dầu Bưởi Kích Thích Mọc Tóc 500ml Đã mua hàng online,17: 34 | 17/09/2022,5.0
16,https://hasaki.vn/san-pham/dau-xa-buoi-milaganics-phuc-hoi-duong-toc-mem-muot-500ml-93865.html,"['93865', '92081', '92079', '93867']",93865,Bình Yên,Dầu gội thơm mùi bưởi. Ít bọt. Gội không bị khô tóc,Dầu Gội Milaganics Tinh Dầu Bưởi Kích Thích Mọc Tóc 250ml Đã mua hàng online,17: 18 | 15/09/2022,5.0
17,https://hasaki.vn/san-pham/dau-xa-buoi-milaganics-phuc-hoi-duong-toc-mem-muot-500ml-93865.html,"['93865', '92081', '92079', '93867']",93865,Nguyễn thị ngọc ánh,"Tóc mình hơi xơ, rất yếu, gội milaganics lần đầu thấy ít bọt cảm thấy hơi khó chịu, nhưng được cái chỉ dùng mỗi dầu gội này thui mà tóc mướt, trơn và mềm hơn cả khi mình dùng dầu gội và dầu xả loại khác, rất ưng cái bụng ngay từ lần đầu... mong sẽ có kq tuyệt vời sau 1 thgian kiên trì",Dầu Gội Milaganics Tinh Dầu Bưởi Kích Thích Mọc Tóc 250ml Đã mua hàng online,14: 57 | 30/07/2022,5.0
18,https://hasaki.vn/san-pham/dau-xa-buoi-milaganics-phuc-hoi-duong-toc-mem-muot-500ml-93865.html,"['93865', '92081', '92079', '93867']",93865,Nguyễn Mỹ Ngọc,"Sản phẩm k nghe mùi bưởi như dầu gội, phải dung nhiều k thấy mượt k có tác dụng gì. Nên mua dầu gội thôi",Dầu Xả Milaganics Tinh Dầu Bưởi Dưỡng Tóc Mềm Mượt 500ml Đã mua hàng online,15: 57 | 20/07/2022,2.0
19,https://hasaki.vn/san-pham/dau-xa-buoi-milaganics-phuc-hoi-duong-toc-mem-muot-500ml-93865.html,"['93865', '92081', '92079', '93867']",93865,Tiền Kim,Điều duy nhất mình thích và cũng thấy rất lạ là không còn ngứa ngay lần đầu tiên gội đầu?!,Dầu Gội Milaganics Tinh Dầu Bưởi Kích Thích Mọc Tóc 500ml Đã mua hàng online,19: 45 | 01/07/2022,4.0
20,https://hasaki.vn/san-pham/dau-xa-buoi-milaganics-phuc-hoi-duong-toc-mem-muot-500ml-93865.html,"['93865', '92081', '92079', '93867']",93865,xuân hiền,"Tóc gội ra không xài dầu xả nó khô ta nói khô lắm NHƯNG hoàn toàn không bị ngứa nữa ngay lần gội đầu tiên, cái này là thật nhé! Sáng hôm sau thì tóc vẫn mềm lại bình thường, theo mình nên mua nha!",Dầu Gội Milaganics Tinh Dầu Bưởi Kích Thích Mọc Tóc 500ml Đã mua hàng online,14: 05 | 22/06/2022,4.0
21,https://hasaki.vn/san-pham/dau-xa-buoi-milaganics-phuc-hoi-duong-toc-mem-muot-500ml-93865.html,"['93865', '92081', '92079', '93867']",93865,Bui Nhatthuy,Mùi thơm giảm rụng tóc thì không đâu . Nhưng dùng em này sau khi xả tóc xong cảm nhận rỏ rệt tóc mềm và độ mịn nhất định nếu vội không cần dùng thêm dầu xả tóc vẫn mềm. Mặc dù tóc mình có duỗi nhuộm và cả móc light. Rất đáng mua. 10d mọi người ơi,Dầu Gội Milaganics Tinh Dầu Bưởi Kích Thích Mọc Tóc 500ml Đã mua hàng online,19: 58 | 11/11/2023,5.0
22,https://hasaki.vn/san-pham/dau-xa-buoi-milaganics-phuc-hoi-duong-toc-mem-muot-500ml-93865.html,"['93865', '92081', '92079', '93867']",93865,Đoàn Thị Thảo Nguyên,"Dầu gội mượt tóc, phồng tóc nha. Mùi cũng dễ chịu nữa. Nma giảm rụng với mọc tóc thì mình chưa thấy",Dầu Xả Milaganics Tinh Dầu Bưởi Dưỡng Tóc Mềm Mượt 500ml Đã mua hàng online,19: 57 | 05/10/2023,5.0
23,https://hasaki.vn/san-pham/dau-xa-buoi-milaganics-phuc-hoi-duong-toc-mem-muot-500ml-93865.html,"['93865', '92081', '92079', '93867']",93865,Ho Thanh Thao,- Mới dùng lần đầu vòi đã hư - Tóc mềm và suôn - Mùi rất nhẹ. Hầu như gội xong k còn,Dầu Gội Milaganics Tinh Dầu Bưởi Kích Thích Mọc Tóc 500ml Đã mua hàng online,14: 09 | 04/10/2023,4.0
24,https://hasaki.vn/san-pham/dau-xa-buoi-milaganics-phuc-hoi-duong-toc-mem-muot-500ml-93865.html,"['93865', '92081', '92079', '93867']",93865,Hant,vừa dùng xong combo gội và xả nên nay lên mua lại tiện thể share feedback cho cả nhà đánh giá rất cao về hiệu quả giảm rụng tóc mau bết tóc nếu dùng dầu xả nhưng nếu chỉ dùng dầu gội thì tóc khô chưa thấy tóc con mọc lên như mn bảo,Dầu Xả Milaganics Tinh Dầu Bưởi Dưỡng Tóc Mềm Mượt 500ml Đã mua hàng online,13: 25 | 28/09/2023,5.0
25,https://hasaki.vn/san-pham/dau-xa-buoi-milaganics-phuc-hoi-duong-toc-mem-muot-500ml-93865.html,"['93865', '92081', '92079', '93867']",93865,vân,"mình đã mua, thấy không ổn nha, tóc cứng, vừa hết chai vội đổi ngay qua loại khác, may là mua chai nhỏ",Dầu Xả Milaganics Tinh Dầu Bưởi Dưỡng Tóc Mềm Mượt 250ml Đã mua hàng online,12: 21 | 13/09/2023,2.0
26,https://hasaki.vn/san-pham/dau-xa-buoi-milaganics-phuc-hoi-duong-toc-mem-muot-500ml-93865.html,"['93865', '92081', '92079', '93867']",93865,Nguyễn Thị Minh Trâm,"mình rất thích dùng sp này, mùi thơm nhẹ dịu, mượt tóc, không gàu, masage cả trên da đầu luôn cũng không sao. Nói chung là hợp với mình. Mình sẽ lại ủng hộ sp này.",Dầu Xả Milaganics Tinh Dầu Bưởi Dưỡng Tóc Mềm Mượt 250ml Đã mua hàng online,11: 48 | 29/08/2023,5.0
27,https://hasaki.vn/san-pham/dau-xa-buoi-milaganics-phuc-hoi-duong-toc-mem-muot-500ml-93865.html,"['93865', '92081', '92079', '93867']",93865,Tú Hảo Chung Ngọc,"tạo bọt bằng nước muối sinh lý ko gây gàu, giảm rụng thấy rõ",Dầu Gội Milaganics Tinh Dầu Bưởi Kích Thích Mọc Tóc 500ml Đã mua hàng online,12: 06 | 14/08/2023,5.0
28,https://hasaki.vn/san-pham/dau-xa-buoi-milaganics-phuc-hoi-duong-toc-mem-muot-500ml-93865.html,"['93865', '92081', '92079', '93867']",93865,Nguyễn Hương,Ta nói gội thì mượt mác Á mà từ ngày hội tóc nó rụng như lá me sợ luôn,Dầu Gội Milaganics Tinh Dầu Bưởi Kích Thích Mọc Tóc 500ml Đã mua hàng online,17: 13 | 08/08/2023,3.0
29,https://hasaki.vn/san-pham/dau-xa-buoi-milaganics-phuc-hoi-duong-toc-mem-muot-500ml-93865.html,"['93865', '92081', '92079', '93867']",93865,Võ Kim Soàn,"Đã quay lại mua lần 2, chất lượng sản phẩm khỏi bàn siêu ưng lun, tóc con mọc túa lua xua, đánh giá cao chất lượng sản phẩm.",Dầu Gội Milaganics Tinh Dầu Bưởi Kích Thích Mọc Tóc 500ml Đã mua hàng online,14: 58 | 15/07/2023,5.0
30,https://hasaki.vn/san-pham/dau-xa-buoi-milaganics-phuc-hoi-duong-toc-mem-muot-500ml-93865.html,"['93865', '92081', '92079', '93867']",93865,Ngọc Vi,"chắc tóc, mọc như chôm chôm nhưnh dễ gàu. phải gội clear trước khi gội này",Dầu Gội Milaganics Tinh Dầu Bưởi Kích Thích Mọc Tóc 500ml Đã mua hàng online,09: 16 | 17/05/2023,5.0
31,https://hasaki.vn/san-pham/dau-goi-dove-duong-toc-bong-benh-khong-bet-dinh-640g-96183.html,"['96287', '96191', '96285', '104053', '97519', '96183', '96281']",96183,Nguyễn Ngọc Anh Thy,gội rất khô tóc thấy cx ko giảm rụng mấy,Dầu Gội Dove Ngăn Gãy Rụng Tóc 640g (Mới) Đã mua hàng online,01: 49 | 11/12/2022,5.0
32,https://hasaki.vn/san-pham/dau-goi-dove-duong-toc-bong-benh-khong-bet-dinh-640g-96183.html,"['96287', '96191', '96285', '104053', '97519', '96183', '96281']",96183,LỆ HUYỀN,Gội rất khô và sơ tóc.,Dầu Gội Dove Hỗ Trợ Phục Hồi Tóc Hư Tổn 880g Đã mua hàng online,14: 06 | 12/10/2022,3.0
33,https://hasaki.vn/san-pham/mau-nhuom-l-oreal-duong-toc-phu-bac-01-den-tu-nhien-172ml-93123.html,"['94153', '93123', '3677', '94151', '3675', '3679', '93125', '3680', '2886', '3676', '2889', '4766', '61111']",93123,Thảo Trần,"Phủ bạc, màu sáng nhất nên chọn loại nào bạn",Màu Nhuộm L'Oreal Dưỡng Tóc Phủ Bạc 4 Nâu Tự Nhiên 172ml Đã mua hàng online,13: 30 | 06/04/2023,5.0
34,https://hasaki.vn/san-pham/mau-nhuom-l-oreal-duong-toc-phu-bac-01-den-tu-nhien-172ml-93123.html,"['94153', '93123', '3677', '94151', '3675', '3679', '93125', '3680', '2886', '3676', '2889', '4766', '61111']",93123,Dương Duyên,"Mua màu darkbrown mà đen thui luôn, k có ánh nâu nào cả",Màu Nhuộm L'Oreal Phủ Bạc 3 Nâu Đen Tự Nhiên 172ml Đã mua hàng online,18: 56 | 11/03/2023,4.0
35,https://hasaki.vn/san-pham/mau-nhuom-l-oreal-duong-toc-phu-bac-01-den-tu-nhien-172ml-93123.html,"['94153', '93123', '3677', '94151', '3675', '3679', '93125', '3680', '2886', '3676', '2889', '4766', '61111']",93123,Phương Lan Nhà May,"buồn quá nhuộm không lên màu chút nào nó còn đen hơn tóc cũ mọi người ạ mình có hỏi bên hasaki họ trả lời phải tẩy tóc mới ra màu vàng, nếu nhuộm mà cứ phải tẩy tóc thì còn gì là tóc nữa,",Màu Nhuộm L'Oreal Dưỡng Tóc Phủ Bạc 7.01 Vàng Sáng 172ml Đã mua hàng online,18: 00 | 15/01/2023,2.0
