,link_item,data_product_id_list,data_product_id,name_comment,content_comment,product_variant,datetime_comment,rating
0,https://hasaki.vn/san-pham/kem-chong-nang-la-roche-posay-khong-nhon-rit-spf50-15ml-93523.html,"['110488', '93523']",93523,huyền nguyễn,mẫu mới chất kem có màu vàng hơn và đặc biệt là có mùi hơi hăng hơn so vs mẫu cũ,[Mini] Kem Chống Nắng La Roche-Posay Kiểm Soát Dầu SPF50+ 15ml (Mới) Đã mua hàng online,08: 56 | 11/10/2023,4.0
1,https://hasaki.vn/san-pham/kem-chong-nang-la-roche-posay-khong-nhon-rit-spf50-15ml-93523.html,"['110488', '93523']",93523,Mun Trần,Không ổn tí nào bôi lên mặt để lại vệt trắng,Kem Chống Nắng La Roche-Posay Không Màu Kiểm Soát Dầu 15ml Đã mua hàng online,09: 39 | 01/11/2022,1.0
2,https://hasaki.vn/san-pham/kem-chong-nang-la-roche-posay-khong-nhon-rit-spf50-15ml-93523.html,"['110488', '93523']",93523,Hoang thi hue,da mình dầu sai thấy lên mụn quá! mùi thơm nhẹ ko vón cục.,Kem Chống Nắng La Roche-Posay Không Màu Kiểm Soát Dầu 15ml Đã mua hàng online,08: 39 | 24/10/2022,4.0
3,https://hasaki.vn/san-pham/kem-chong-nang-la-roche-posay-khong-nhon-rit-spf50-15ml-93523.html,"['110488', '93523']",93523,Phương Vi,"chân ái cho da treatment, nâng tông nhẹ, căng da, không bết rít, cho da khoẻ.",Kem Chống Nắng La Roche-Posay Không Màu Kiểm Soát Dầu 15ml Đã mua hàng online,09: 25 | 22/07/2022,5.0
4,https://hasaki.vn/san-pham/kem-chong-nang-la-roche-posay-khong-nhon-rit-spf50-15ml-93523.html,"['110488', '93523']",93523,Diệu Minh,"suy nghĩ 1 năm mới dám tậu e về.hehe, 15ml thì 100đ, nhg 50ml thì lại 95d thôi, hổng biết tại sao, nhưng giá vậy mà lớp finish đẹp vậy thì quá xứng đáng, chỉ cần dưỡng ẩm, quất lên thôi.",Kem Chống Nắng La Roche-Posay Không Màu Kiểm Soát Dầu 15ml Đã mua hàng online,20: 26 | 12/07/2022,5.0
5,https://hasaki.vn/san-pham/kem-chong-nang-la-roche-posay-khong-nhon-rit-spf50-15ml-93523.html,"['110488', '93523']",93523,Nguyễn Thị Tường Vi,"Mình da dầu, dùng thấy bị đổ dầu vùng chữ T thôi, lớp finish đẹp, chỉ cần dưỡng ẩm đủ, với dùng tay ẩm thoa là dẽ kh bị vón, da treatmen mà mua này dùng là mgon bổ rẻ rồi",Kem Chống Nắng La Roche-Posay Không Màu Kiểm Soát Dầu 15ml Đã mua hàng online,11: 41 | 07/07/2022,4.0
6,https://hasaki.vn/san-pham/kem-chong-nang-la-roche-posay-khong-nhon-rit-spf50-15ml-93523.html,"['110488', '93523']",93523,Phước Bắp,Siêu vón cục dù đổi kiểu thoa và có serum hay ko có serum vẫn bị vón cục,Kem Chống Nắng La Roche-Posay Không Nhờn Rít SPF50+ 15ml Đã mua hàng online,08: 20 | 02/03/2022,1.0
7,https://hasaki.vn/san-pham/mat-na-duong-da-some-by-mi-lo-hoi-duong-am-lam-diu-da-20g-98019.html,"['98023', '98027', '98037', '98031', '98021', '98035', '98033', '98025', '98029', '98019']",98019,loiloi,"thử biết bao mặt nạ peptide, b5 thì vẫn quay về với e some by mi rau má thôi. Lành tính, thuần chay, dịu đỏ, dưỡng chất vừa đủ không bị nhễ nhại như những loại khác 10₫₫₫₫","Mặt Nạ Dưỡng Da Some By Mi Cica Giảm Kích Ứng, Dịu Da 20g",21: 32 | 11/03/2024,5.0
8,https://hasaki.vn/san-pham/mat-na-duong-da-some-by-mi-lo-hoi-duong-am-lam-diu-da-20g-98019.html,"['98023', '98027', '98037', '98031', '98021', '98035', '98033', '98025', '98029', '98019']",98019,Nguyễn giang trúc,"rít mặt nên đắp xomg phải lau lại rôid dùng dưỡng sau đó. tuy nhiên mask khá tốt, đắp xong ko bị kích ứng gì cả...",Mặt Nạ Dưỡng Da Some By Mi Hyaluronic Acid Cấp Nước 20g Đã mua hàng online,23: 05 | 17/07/2023,4.0
9,https://hasaki.vn/san-pham/mat-na-duong-da-some-by-mi-lo-hoi-duong-am-lam-diu-da-20g-98019.html,"['98023', '98027', '98037', '98031', '98021', '98035', '98033', '98025', '98029', '98019']",98019,Quynh Anh,đắp xong da mặt mịn màng mà nó còn giảm bớt dầu nữa,Mặt Nạ Dưỡng Da Some By Mi Tràm Trà Làm Dịu Da Mụn 20g Đã mua hàng online,14: 09 | 19/03/2023,5.0
10,https://hasaki.vn/san-pham/mat-na-duong-da-some-by-mi-lo-hoi-duong-am-lam-diu-da-20g-98019.html,"['98023', '98027', '98037', '98031', '98021', '98035', '98033', '98025', '98029', '98019']",98019,C CẨM TÚ,"Cực kì ưng dòng này luôn, mặt bị nổi mụn sưng đắp xong cái qua ngày sau dịu lại liền. Da mình hay bị sần sần đắp ẻm cái trộm día mướt mát liền nên thử nha mn",Mặt Nạ Dưỡng Da Some By Mi AHA-BHA-PHA Tẩy Tế Bào Chết 20g Đã mua hàng online,01: 15 | 05/08/2022,5.0
11,https://hasaki.vn/san-pham/mat-na-duong-da-some-by-mi-lo-hoi-duong-am-lam-diu-da-20g-98019.html,"['98023', '98027', '98037', '98031', '98021', '98035', '98033', '98025', '98029', '98019']",98019,Nguyễn Vi,"Mask này làm dịu da ổn áp á mn. Da t đang có tình trạng mụn nhẹ, đắp xong qua hôm sau là mụn lặn bớt, tình trạng đỏ da cũng giảm đáng kể. Chốt đơn","Mặt Nạ Dưỡng Da Some By Mi Cica Giảm Kích Ứng, Dịu Da 20g Đã mua hàng online",12: 59 | 25/04/2022,5.0
12,https://hasaki.vn/san-pham/mat-na-duong-da-some-by-mi-lo-hoi-duong-am-lam-diu-da-20g-98019.html,"['98023', '98027', '98037', '98031', '98021', '98035', '98033', '98025', '98029', '98019']",98019,nguyen hong ngoc thuy,"mask đắp đã, dùng xong chừng 2 ngày cục mụn có thể nặn luôn :vvv",Mặt Nạ Dưỡng Da Some By Mi AHA-BHA-PHA Tẩy Tế Bào Chết 20g Đã mua hàng online,00: 27 | 28/02/2022,5.0
13,https://hasaki.vn/san-pham/mat-na-duong-da-some-by-mi-lo-hoi-duong-am-lam-diu-da-20g-98019.html,"['98023', '98027', '98037', '98031', '98021', '98035', '98033', '98025', '98029', '98019']",98019,DÂNG,Trời ơi là trời!!!!!! Xài xong cái mask real vitamin C. Mặt tone sáng dữ dội,Mặt Nạ Dưỡng Da Some By Mi Vitamin C Làm Sáng Da 20g Đã mua hàng online,18: 20 | 20/12/2021,5.0
14,https://hasaki.vn/san-pham/mini-nuoc-tay-trang-hada-labo-sach-sau-duong-am-40ml-108368.html,"['108368', '103545', '103555']",108368,Đỗ Thúy Quỳnh,"Mua không biết bao nhiêu lọ dùng rồi giờ mới đánh giá. Da mình là da hỗn hợp thiên dầu, dùng loại này rất sạch, thoáng và ẩm da. Dùng chai tẩy trang dưỡng trắng (nắp xanh) thì lên mụn tùm lum. Nói chung đây là chân ái của mình nên chắc chắn sẽ mua lại nhiều lần!",Nước Tẩy Trang Hada Labo Sạch Sâu Dưỡng Ẩm 240ml Đã mua hàng online,13: 25 | 10/05/2023,5.0
15,https://hasaki.vn/san-pham/mini-nuoc-tay-trang-hada-labo-sach-sau-duong-am-40ml-108368.html,"['108368', '103545', '103555']",108368,Parsley,tẩy thông thường ko makeup thấy sạch bụi bẩn dầu nhờn,Nước Tẩy Trang Hada Labo Sạch Sâu Dưỡng Ẩm 240ml Đã mua hàng online,14: 12 | 01/05/2023,5.0
16,https://hasaki.vn/san-pham/mat-na-jmsolution-tom-duong-sang-da-ngan-ngua-lao-hoa-30ml-114655.html,"['88823', '88827', '114655', '88821', '88825']",114655,Nguyễn Quang Trí,"hàng chuẩn giao hàng nhanh, đắp rất thích da mướt mịn hẳn","Mặt Nạ JM Solution Cấp Ẩm, Giúp Tái Tạo Da Từ Sứa Biển 30ml",04: 50 | 01/10/2021,5.0
17,https://hasaki.vn/san-pham/mat-na-jmsolution-tom-duong-sang-da-ngan-ngua-lao-hoa-30ml-114655.html,"['88823', '88827', '114655', '88821', '88825']",114655,Nguyễn Quang Trí,mặt nạ dạng thạch đắp rất ăn da mướt mịn da hẳn siêu ưng ý luôn,Mặt Nạ Dưỡng Da JM Solution Cá Tầm Vàng 30ml,04: 49 | 01/10/2021,5.0
18,https://hasaki.vn/san-pham/mat-na-dermal-chiet-xuat-ngoc-trai-duong-sang-da-23g-16152.html,"['16110', '16122', '16191', '17931', '15864', '16173', '79122', '16179', '16161', '16092', '16113', '16131', '16152', '16176', '82091', '15855', '15849', '16182', '16188', '54232', '16197', '16164', '16782']",16152,Thanh Lam,"mặt nạ dưỡng ẩm ok lắm đắp xong mặt mịn màng và nhìn kĩ thấy lcl nhỏ hơn tí, tối đắp sáng dậy vẫn thấy mặt còn căng mịn luôn, từng xaif nhiều loại giá rẻ như này và cảm thấy mặt nạ derma này tốt hơn nhiều loại cùng giá",Mặt Nạ Dermal Chiết Xuất Rong Biển Dưỡng Ẩm Da 23g Đã mua hàng online,08: 46 | 29/05/2023,5.0
19,https://hasaki.vn/san-pham/mat-na-dermal-chiet-xuat-ngoc-trai-duong-sang-da-23g-16152.html,"['16110', '16122', '16191', '17931', '15864', '16173', '79122', '16179', '16161', '16092', '16113', '16131', '16152', '16176', '82091', '15855', '15849', '16182', '16188', '54232', '16197', '16164', '16782']",16152,Dung Phạm,"Đã mua tất cả các loại để dùng. Giá rẻ, hợp học sinh sinh viên nhưng không có tác dụng gì mấy, không gây kích ứng da. đắp cho mát ok",Mặt Nạ Dermal Chiết Xuất Dưa Leo Dưỡng Ẩm Da 23g Đã mua hàng online,14: 39 | 31/05/2022,4.0
