,link_item,data_product_id_list,data_product_id,name_comment,content_comment,product_variant,datetime_comment,rating
0,https://hasaki.vn/san-pham/serum-chong-nang-anessa-duong-da-nang-tong-30ml-99215.html,"['99215', '114989']",99215,quynhtram nguyen,"Sau khi chia tay laroche do ko mua đc bản cũ, thì tui đến với em này, tui tính toán thì nó ngang giá với MartiDem đang on top review về độ chống nắng. Anessa thì ko cần bàn cãi về độ chống nắng rồi, riêng em này tui đánh giá nâng tone ổn, nhìn hồng hào, mịn, kiềm dầu thì ổn hơn Laroche bản cũ tui từng dùng, cũng nhẹ mặt hơn Laroche nha chị em. 9đ, trừ 1 điểm do giá chát nha",Serum Chống Nắng Anessa Dưỡng Da Nâng Tông 30ml Đã mua hàng online,15: 15 | 07/11/2023,5.0
1,https://hasaki.vn/san-pham/serum-chong-nang-anessa-duong-da-nang-tong-30ml-99215.html,"['99215', '114989']",99215,a nhân,"Mình đã sài gần hết chai. Khá hài lòng với dòng serum mới này của hãng. Chống nắng tốt. Dưỡng da ổn , tính năng mới được quảng cáo mình nghĩ có hiệu quả vì sài thấy nhỉnh hơn loai sữa dưỡng . Bôi lên da trắng hồng tự nhiên . Đáng trải nghiệm",Serum Chống Nắng Anessa Dưỡng Da Nâng Tông 30ml Đã mua hàng online,22: 49 | 10/07/2023,4.0
2,https://hasaki.vn/san-pham/serum-chong-nang-anessa-duong-da-nang-tong-30ml-99215.html,"['99215', '114989']",99215,Hồng Nhung,Mình đã dùng hết 1 chai giờ quay lại mua lần 2.Thực sự lót trang điểm và chống nắng ổn lắm nhe.da căng lên bóng bóng chứ k sạm đi thoa khoảng 2 ~ 3 lần trong ngày cảm nhận sự khác biệt,Serum Chống Nắng Anessa Dưỡng Da Nâng Tông 30ml (Mẫu Mới 2022) Đã mua hàng online,06: 09 | 30/05/2023,5.0
3,https://hasaki.vn/san-pham/serum-chong-nang-anessa-duong-da-nang-tong-30ml-99215.html,"['99215', '114989']",99215,Nguyễn Hải Yến,dùng cũng ok đấy ạ,Serum Chống Nắng Anessa Dưỡng Da Nâng Tông 30ml (Mẫu Mới 2022) Đã mua hàng online,20: 12 | 03/04/2023,4.0
4,https://hasaki.vn/san-pham/serum-chong-nang-anessa-duong-da-nang-tong-30ml-99215.html,"['99215', '114989']",99215,Thu Thủy,Đã dùng sang lọ thứ 3 và rất thích sp này!,Serum Chống Nắng Anessa Dưỡng Da Nâng Tông 30ml (Mẫu Mới 2022) Đã mua hàng online,16: 51 | 17/12/2022,5.0
5,https://hasaki.vn/san-pham/serum-chong-nang-anessa-duong-da-nang-tong-30ml-99215.html,"['99215', '114989']",99215,Nhung nguyen,"đang tìm kem chống nắng cho nhẹ mặt, k bết dính thì phát hiện ra e này, lên youtube vẫn chưa có review nhiều mà vẫn quyết định mua mn ạ. kcn dùng êm nhẹ mặt, thấm nhanh, mìn sẽ mua lại lần sau, mn nên trải nghiệm thử em này nhed",Serum Chống Nắng Anessa Dưỡng Da Nâng Tông 30ml (Mẫu Mới 2022) Đã mua hàng online,07: 42 | 15/08/2022,5.0
6,https://hasaki.vn/san-pham/tinh-chat-cocoon-nghe-hung-yen-x2-2-sang-da-chuyen-sau-30ml-102383.html,[''],102383,Ngọc Mỹ,Hơi chậm chút nhưng mỏng nhẹ và lành tính,Tinh Chất Cocoon Nghệ Hưng Yên x2.2 Sáng Da Chuyên Sâu 30ml Đã mua hàng online,14: 45 | 11/03/2024,4.0
7,https://hasaki.vn/san-pham/tinh-chat-cocoon-nghe-hung-yen-x2-2-sang-da-chuyen-sau-30ml-102383.html,[''],102383,Lê Anh Thư,Mê lắm luôn,Tinh Chất Cocoon Nghệ Hưng Yên x2.2 Sáng Da Chuyên Sâu 30ml Đã mua hàng online,14: 39 | 11/02/2024,5.0
8,https://hasaki.vn/san-pham/tinh-chat-cocoon-nghe-hung-yen-x2-2-sang-da-chuyen-sau-30ml-102383.html,[''],102383,Mel Tân,"xài rất tốt, xài vừa đủ sẽ không bết trên da, sau một thời gian là nhả nám sạm đen hẳn",Tinh Chất Cocoon Nghệ Hưng Yên x2.2 Sáng Da Chuyên Sâu 30ml Đã mua hàng online,22: 48 | 02/01/2024,5.0
9,https://hasaki.vn/san-pham/tinh-chat-cocoon-nghe-hung-yen-x2-2-sang-da-chuyen-sau-30ml-102383.html,[''],102383,Dương Thị Sen,Mê ê,Tinh Chất Cocoon Nghệ Hưng Yên x2.2 Sáng Da Chuyên Sâu 30ml,13: 23 | 03/12/2023,5.0
