,link_item,data_product_id_list,data_product_id,name_comment,content_comment,product_variant,datetime_comment,rating
0,https://hasaki.vn/san-pham/xa-phong-ho-tro-khang-khuan-va-ngan-ngua-mun-acnes-75g-69924.html,[''],69924,võ thị huỳnh như,"Tắm xong da mịn màng chứ ko bị khô, có thành phần kháng khuẩn nên ai mụn lưng dùng thời gian là thấy cải thiện ngay, mà mùi nhẹ dịu nữa, nên mua nha mn",Xà Phòng Acnes Hỗ Trợ Kháng Khuẩn Và Ngăn Ngừa Mụn 75g Đã mua hàng online,19: 01 | 24/01/2024,5.0
1,https://hasaki.vn/san-pham/xa-phong-ho-tro-khang-khuan-va-ngan-ngua-mun-acnes-75g-69924.html,[''],69924,Junjun,"Sản phẩm rất chất lượng, sản phẩm này được giới thiệu nên dùng nhưng giờ mình đã chuyển hẳn sang dùng nó rồi, trị mụn lưng rất ok",Xà Phòng Acnes Hỗ Trợ Kháng Khuẩn Và Ngăn Ngừa Mụn 75g Đã mua hàng online,21: 42 | 22/01/2024,5.0
2,https://hasaki.vn/san-pham/xa-phong-ho-tro-khang-khuan-va-ngan-ngua-mun-acnes-75g-69924.html,[''],69924,A Minh Vũ,"Thay thế srm rất ok!!!mờ thâm, sạch da, ko khô da! Sẽ mua tiếp!",Xà Phòng Acnes Hỗ Trợ Kháng Khuẩn Và Ngăn Ngừa Mụn 75g,12: 09 | 21/01/2024,5.0
3,https://hasaki.vn/san-pham/xa-phong-ho-tro-khang-khuan-va-ngan-ngua-mun-acnes-75g-69924.html,[''],69924,trà my,"Thấy cũng có giảm nhưng mà cũng không nhiều lắm, mình cũng kiên trì xài mấy cục rồi. Đã chuyển sang kết hợp xịt mụn Angel Liquid thì đỡ hơn tí nữa",Xà Phòng Acnes Hỗ Trợ Kháng Khuẩn Và Ngăn Ngừa Mụn 75g Đã mua hàng online,19: 25 | 27/02/2023,4.0
4,https://hasaki.vn/san-pham/xa-phong-ho-tro-khang-khuan-va-ngan-ngua-mun-acnes-75g-69924.html,[''],69924,Lê Ngô Hồng Ân,Mình mua thử nhiều loại xà bông tắm trị mụn mà mình thấy nhà hợp nhất của Acnes dùng 2 ng thì được khoảng 1 tháng hết 1 cục 75g cũng ổn áp nên mua thêm 2 cục 2 nữa,Xà Phòng Acnes Hỗ Trợ Kháng Khuẩn Và Ngăn Ngừa Mụn 75g Đã mua hàng online,16: 25 | 14/07/2022,5.0
5,https://hasaki.vn/san-pham/xa-phong-ho-tro-khang-khuan-va-ngan-ngua-mun-acnes-75g-69924.html,[''],69924,DÂNG,xài ok nhưng khổ cái tay nó khô héo,Xà Phòng Hỗ Trợ Kháng Khuẩn Và Ngăn Ngừa Mụn Acnes 75g Đã mua hàng online,09: 50 | 02/12/2021,4.0
6,https://hasaki.vn/san-pham/mat-na-banobagi-duong-sang-thu-gian-da-hop-10-mieng-104333.html,"['104341', '104337', '104315', '101457', '104319', '100441', '104317', '101459', '104323', '104335', '100435', '104333', '100437', '101461', '100439', '104321', '100433', '101463', '101465', '104339']",104333,Huy,"dù là hay được so sánh với BNBG nhma mình thấy con này cấp ẩm không tốt bằng BNBG nhưng vẫn rất tốt trong tầm giá, với mình da dầu thì da đủ ẩm và thoải mái sau mấy ngày treat. 13k cho một cái mặt nạ thì không cần bàn cãi, 10/10",Mặt Nạ Banobagi Dưỡng Sáng Cấp Nước (Xanh Dương Đậm) 30g Đã mua hàng online,22: 14 | 27/03/2024,5.0
7,https://hasaki.vn/san-pham/mat-na-banobagi-duong-sang-thu-gian-da-hop-10-mieng-104333.html,"['104341', '104337', '104315', '101457', '104319', '100441', '104317', '101459', '104323', '104335', '100435', '104333', '100437', '101461', '100439', '104321', '100433', '101463', '101465', '104339']",104333,c mai phuong,"tinh chất khá nhiều, mặt nạ ôm sát mặt nhưng lúc đắp và đắp xong cảm giác cực kì thoải mái, không bị kích ứng, sáng hôm sau thấy da mướt hơn, sẽ mua 1 hộp 10 miếng để dùng",Mặt Nạ Banobagi Dưỡng Sáng Và Cấp Ẩm Cho Da 30g (Xanh) Đã mua hàng online,08: 55 | 15/01/2024,5.0
8,https://hasaki.vn/san-pham/mat-na-banobagi-duong-sang-thu-gian-da-hop-10-mieng-104333.html,"['104341', '104337', '104315', '101457', '104319', '100441', '104317', '101459', '104323', '104335', '100435', '104333', '100437', '101461', '100439', '104321', '100433', '101463', '101465', '104339']",104333,Kim Khánh Lê Thị,"ôm sát mặt, cấp ẩm tốt","Mặt Nạ Banobagi Dưỡng Sáng, Hỗ Trợ Nâng Cơ (Hồng) 30g",10: 24 | 27/09/2023,5.0
9,https://hasaki.vn/san-pham/mat-na-banobagi-duong-sang-thu-gian-da-hop-10-mieng-104333.html,"['104341', '104337', '104315', '101457', '104319', '100441', '104317', '101459', '104323', '104335', '100435', '104333', '100437', '101461', '100439', '104321', '100433', '101463', '101465', '104339']",104333,Nguyễn Thị Hồng Lan,"mới nhận hàng, dùng thử luôn tối qua, sản phẩm phải nói là xài cực kỳ thích luôn, mặt nạ này tinh chất rất đậm đặc và nhiều nữa, bôi xong da căng bóng mịn và mềm rất là thích. Sẽ mua dùng lại.",Mặt Nạ Banobagi Dưỡng Sáng Và Cấp Ẩm Cho Da 30g (Xanh) Đã mua hàng online,10: 24 | 11/07/2023,5.0
