,product_id,data_product_id,link_item,title,original_price,current_price,quantity_sold,product_variant,review_count
0,422212331,107938,https://hasaki.vn/san-pham/combo-2-bong-tay-trang-hotosu-cao-cap-150-mieng-107938.html,Combo 2 Bông Tẩy Trang Hotosu Cao Cấp 150 Miếng,70.000 ₫,51.000 ₫,3.053,300 miếng,28
1,422211640,107860,https://hasaki.vn/san-pham/bong-tay-trang-hotosu-cao-cap-150-mieng-107860.html,Bông Tẩy Trang Hotosu Cao Cấp 150 Miếng,35.000 ₫,26.000 ₫,5.109,150 miếng,28
2,232100001,6710,https://hasaki.vn/san-pham/son-duong-moi-khong-mau-dhc-ho-tro-giam-tham-moi-1-5g-6710.html,Son Dưỡng Môi DHC Không Màu Hỗ Trợ Giảm Thâm Môi 1.5g,199.000 ₫,165.000 ₫,782,1.5g,44
3,422207158,100457,https://hasaki.vn/san-pham/phan-nuoc-laneige-che-phu-min-li-24h-tong-mau-21n-15g-100457.html,Phấn Nước Laneige Cho Lớp Nền Mịn Lì 24H #21N 15g,630.000 ₫,500.000 ₫,252,21N,44
4,422203776,94831,https://hasaki.vn/san-pham/combo-4-bong-tay-trang-ipek-150-mieng-94831.html,Combo 4 Bông Tẩy Trang Ipek 150 Miếng,200.000 ₫,111.000 ₫,1.017,4x150 miếng,95
5,100540031,1787,https://hasaki.vn/san-pham/sap-duong-moi-hong-xinh-vaseline-7g-1787.html,Sáp Dưỡng Môi Vaseline Hồng Xinh 7g,82.000 ₫,55.000 ₫,1.536,7g,63
6,422213292,109250,https://hasaki.vn/san-pham/phan-phu-innisfree-kiem-dau-dang-bot-khoang-5g-1-109250.html,Phấn Phủ innisfree Kiềm Dầu Dạng Bột Khoáng 5g (Mới 2023),180.000 ₫,134.000 ₫,625,5g,3
7,422203301,93859,https://hasaki.vn/san-pham/bong-tay-trang-mihoo-kokimi-bong-vuong-tui-240-mieng-93859.html,Bông Tẩy Trang Mihoo Kokimi Bông Vuông Túi 240 Miếng,55.000 ₫,47.000 ₫,1.753,240 miếng,24
8,422207157,100459,https://hasaki.vn/san-pham/phan-nuoc-laneige-cang-bong-24h-tong-mau-21n-15g-100459.html,Phấn Nước Laneige Cho Lớp Nền Căng Bóng Tự Nhiên 24H #21N 15g,630.000 ₫,500.000 ₫,147,21N,1
9,422209457,103777,https://hasaki.vn/san-pham/son-kem-li-black-rouge-a12-dashed-brown-nau-gach-4-5g-103777.html,Son Kem Lì Black Rouge A12 Dashed Brown Nâu Gạch 4.5g,298.000 ₫,164.000 ₫,445,4.5g,4
