,product_id,data_product_id,link_item,title,original_price,current_price,quantity_sold,product_variant,review_count
0,422205453,97759,https://hasaki.vn/san-pham/dung-dich-ve-sinh-phu-nu-femfresh-daily-intimate-250ml-97759.html,Dung Dịch Vệ Sinh Phụ Nữ Femfresh Cao Cấp Hằng Ngày 250ml,198.000 ₫,168.000 ₫,450,250ml,10
1,422215456,113073,https://hasaki.vn/san-pham/kem-danh-rang-marvis-whitening-mint-lam-trang-rang-85ml-113073.html,Kem Đánh Răng Marvis Màu Bạc Làm Trắng Răng 85ml,279.000 ₫,179.000 ₫,402,85ml,13
2,301500006,83037,https://hasaki.vn/san-pham/dung-dich-ve-sinh-phu-nu-lactacyd-odor-fresh-ngan-mui-250ml-83037.html,Dung Dịch Vệ Sinh Phụ Nữ Lactacyd Ngăn Mùi 24H 250ml,74.000 ₫,71.000 ₫,666,250ml,23
3,422215645,113417,https://hasaki.vn/san-pham/kem-danh-rang-median-dental-iq-lam-sang-mau-trang-bac-120g-moi-113417.html,Kem Đánh Răng Median IQ 93% Trắng Răng Màu Trắng Bạc 120g,65.000 ₫,41.000 ₫,1.135,120g,3
4,294100026,89455,https://hasaki.vn/san-pham/combo-2-nuoc-suc-mieng-listerine-hoi-tho-thom-mat-750ml-chai-89455.html,Combo 2 Nước Súc Miệng Listerine Hơi Thở Thơm Mát 750ml/Chai,272.000 ₫,183.000 ₫,244,2x750ml,8
5,422205688,98135,https://hasaki.vn/san-pham/ban-chai-dien-p-s-s100-pro-cong-nghe-song-am-mau-xanh-ombre-98135.html,Bàn Chải Điện P/S S100 Pro Công Nghệ Sóng Âm Màu Xanh Ombre,1.300.000 ₫,650.000 ₫,65,1 cây,4
6,413600004,87965,https://hasaki.vn/san-pham/kem-danh-rang-p-s-bao-ve-123-than-hoat-tinh-lam-sang-rang-230g-87965.html,Kem Đánh Răng P/S Than Hoạt Tính Trắng Răng Tự Nhiên 230g,45.000 ₫,37.000 ₫,1.116,230g,1.11
7,422205455,97755,https://hasaki.vn/san-pham/dung-dich-ve-sinh-phu-nu-femfresh-soothing-wash-250ml-97755.html,Dung Dịch Vệ Sinh Phụ Nữ Femfresh Cao Cấp Làm Dịu Da 250ml,89.000 ₫,198.000 ₫,176,250ml,10
8,422206864,100263,https://hasaki.vn/san-pham/bang-ve-sinh-diana-sensi-dang-quan-size-m-l-goi-5-mieng-100263.html,Băng Quần Diana Ban Đêm Size M-L 5 Cái,1.300.000 ₫,79.000 ₫,424,5 cái,2
9,422205686,98141,https://hasaki.vn/san-pham/ban-chai-dien-p-s-s100-pro-cong-nghe-song-am-mau-den-98141.html,Bàn Chải Điện P/S S100 Pro Công Nghệ Sóng Âm Màu Đen,235.000 ₫,650.000 ₫,44,1 cây,4
10,422201738,91933,https://hasaki.vn/san-pham/nuoc-suc-mieng-propolinse-pure-chiet-xuat-sap-ong-600ml-91933.html,Nước Súc Miệng Propolinse Pure Chiết Xuất Sáp Ong 600ml,75.000 ₫,149.000 ₫,191,600ml,25
11,372000002,79717,https://hasaki.vn/san-pham/kem-danh-rang-eucryl-lam-trang-rang-huong-bac-ha-62g-79717.html,Kem Đánh Răng Eucryl Làm Trắng Răng Hương Bạc Hà 62g,1.300.000 ₫,39.000 ₫,585,62g,9
12,301500004,41864,https://hasaki.vn/san-pham/dung-dich-ve-sinh-phu-nu-lactacyd-odor-fresh-ngan-mui-150ml-41864.html,Dung Dịch Vệ Sinh Phụ Nữ Lactacyd Ngăn Mùi 24H 150ml,47.000 ₫,50.000 ₫,437,150ml,23
