,product_id,data_product_id,link_item,title,original_price,current_price,quantity_sold,product_variant,review_count
0,357100003,78190,https://hasaki.vn/san-pham/sua-tam-hatomugi-duong-sang-da-800ml-78190.html,"Sữa Tắm Hatomugi Dưỡng Ẩm, Làm Sáng Da 800ml",230.000 ₫,80.000 ₫,3.940,800ml,129
1,422210803,106207,https://hasaki.vn/san-pham/smoothie-tay-da-chet-dove-huong-luu-do-298g-106207.html,Smoothie Tẩy Da Chết Dove Hương Lựu Đỏ 298g,199.000 ₫,149.000 ₫,1.435,298g,75
2,422206577,99505,https://hasaki.vn/san-pham/tui-refill-tay-te-bao-chet-toan-than-cocoon-sach-da-600ml-99505.html,Túi Refill Tẩy Da Chết Toàn Thân Cocoon Sạch Da 600ml,325.000 ₫,292.000 ₫,614,600ml,116
3,422200355,90579,https://hasaki.vn/san-pham/kem-khu-mui-dove-collagen-b3-duong-sang-deu-mau-40ml-90579.html,Serum Ngăn Mùi Dove Giúp Da Sáng Mịn Đều Màu 40ml,97.000 ₫,67.000 ₫,2.565,40ml,155
4,242300001,9604,https://hasaki.vn/san-pham/lan-khu-mui-etiaxil-danh-cho-da-nhay-cam-15ml-9604.html,Lăn Khử Mùi EtiaXil Nhãn Xanh Cho Da Nhạy Cảm 15ml,320.000 ₫,215.000 ₫,555,15ml,48
5,422210261,105403,https://hasaki.vn/san-pham/serum-vaseline-gluta-hya-sang-da-chuyen-sau-ban-dem-330ml-105403.html,Sữa Dưỡng Thể Vaseline Sáng Da Chuyên Sâu Ban Đêm 330ml,150.000 ₫,114.000 ₫,856,330ml,16
6,422211153,106491,https://hasaki.vn/san-pham/combo-2-sua-duong-the-vaseline-sang-min-da-330ml-106491.html,Combo 2 Sữa Dưỡng Thể Vaseline Sáng Mịn Da Ngày & Đêm (330ml/chai),300.000 ₫,232.000 ₫,369,2 x 330ml,16
7,422209343,103587,https://hasaki.vn/san-pham/serum-chong-nang-co-the-vaseline-duong-sang-da-300ml-moi-103587.html,Serum Dưỡng Thể Vaseline Chống Nắng Sáng Da 300ml (Mới),203.000 ₫,136.000 ₫,605,300ml,7
8,308100015,84643,https://hasaki.vn/san-pham/ca-phe-dak-lak-tay-da-chet-toan-than-cocoon-200ml-84643.html,Tẩy Da Chết Toàn Thân Cocoon Cà Phê Đắk Lắk 200ml,125.000 ₫,98.000 ₫,791,200ml,116
9,422210801,106203,https://hasaki.vn/san-pham/smoothie-tay-da-chet-dove-huong-hoa-anh-dao-298g-106203.html,Smoothie Tẩy Da Chết Dove Hương Hoa Anh Đào 298g,199.000 ₫,149.000 ₫,487,298g,75
10,422209262,103451,https://hasaki.vn/san-pham/combo-cocoon-tay-te-bao-chet-cho-mat-va-toan-than-tu-ca-phe-103451.html,Combo Cocoon Tẩy Da Chết Cho Mặt & Toàn Thân Từ Cà Phê Đắk Lắk (200ml+150ml),290.000 ₫,165.000 ₫,425,2 món,43
11,422207325,100799,https://hasaki.vn/san-pham/sua-tam-lifebuoy-detox-matcha-kho-qua-800g-100799.html,Sữa Tắm Lifebuoy Detox Matcha & Khổ Qua 800g,195.000 ₫,148.000 ₫,466,800g,2
12,422200357,90593,https://hasaki.vn/san-pham/serum-ngan-mui-dove-giup-mo-tham-thu-nho-lo-chan-long-40ml-90593.html,Serum Ngăn Mùi Dove Giúp Mờ Thâm Thu Nhỏ Lỗ Chân Lông 40ml,97.000 ₫,63.000 ₫,999,50ml,155
13,422208815,102641,https://hasaki.vn/san-pham/sua-duong-the-vaseline-gluta-hya-nang-tong-tuc-thi-300ml-102641.html,Sữa Dưỡng Thể Vaseline Gluta-Hya Nâng Tông Tức Thì 300ml,195.000 ₫,134.000 ₫,429,1 chai,10
14,206200005,8578,https://hasaki.vn/san-pham/sua-duong-the-nivea-lam-sang-san-chac-da-ban-dem-350ml-8578.html,Sữa Dưỡng Thể Nivea Sáng Da Ban Đêm Từ 8 Super Food 350ml,139.000 ₫,99.000 ₫,567,350ml,29
15,100200018,1690,https://hasaki.vn/san-pham/kem-tam-secret-key-snow-white-duong-sang-da-200g-1690.html,Kem Tắm Secret Key Dưỡng Sáng Da Mặt Và Cơ Thể 200g,440.000 ₫,250.000 ₫,216,200g,7
16,100070011,2649,https://hasaki.vn/san-pham/kem-duong-the-paula-s-choice-2-bha-tay-te-bao-chet-210ml-2649.html,Kem Dưỡng Thể Paula's Choice Giảm Viêm Lỗ Chân Lông 210ml,950.000 ₫,617.000 ₫,83, 210ml,9
17,422210802,106205,https://hasaki.vn/san-pham/smoothie-tay-da-chet-dove-duong-nau-huong-dua-298g-106205.html,Smoothie Tẩy Da Chết Dove Đường Nâu & Hương Dừa 298g,250.000 ₫,149.000 ₫,336,298g,75
18,417000001,88671,https://hasaki.vn/san-pham/tay-da-chet-toan-than-exclusive-cosmetic-que-hoi-cafe-380g-88671.html,Tẩy Da Chết Toàn Thân Exclusive Cosmetic Quế Hồi Cafe 380g,159.000 ₫,85.000 ₫,531,380g,70
19,422205572,97897,https://hasaki.vn/san-pham/sua-tam-va-goi-cetaphil-tinh-chat-hoa-cuc-diu-nhe-cho-be-400ml-97897.html,Sữa Tắm Gội Cetaphil Dịu Lành Cho Bé Tinh Chất Hoa Cúc 400ml,301.000 ₫,243.000 ₫,184,400ml,3
20,213300029,29157,https://hasaki.vn/san-pham/serum-chong-nang-duong-the-biore-khang-bui-sang-min-mat-lanh-spf-50-pa-150ml-29157.html,Serum Chống Nắng Dưỡng Thể Bioré Sáng Mịn Mát Lạnh 150ml,216.000 ₫,151.000 ₫,293,150ml,38
21,252500004,14620,https://hasaki.vn/san-pham/kem-bo-tay-long-cleo-cho-da-nhay-cam-50g-14620.html,Kem Tẩy Lông Cléo Dành Cho Da Nhạy Cảm 50g,76.000 ₫,60.000 ₫,724,50g,44
22,422215255,112737,https://hasaki.vn/san-pham/sua-tam-johnson-s-adult-2-trong-1-cap-am-cho-nguoi-lon-750ml-112737.html,Sữa Tắm Johnson's Adult 2 Trong 1 Cấp Ẩm Cho Người Lớn 750ml,171.000 ₫,128.000 ₫,327,750ml,32
23,249500026,86813,https://hasaki.vn/san-pham/kem-chong-nang-duong-the-trang-min-sunplay-spf-50-pa-150g-86813.html,Lotion Chống Nắng Sunplay Dưỡng Thể Sáng Mịn 150g,219.000 ₫,168.000 ₫,244,150g,28
24,422205355,97567,https://hasaki.vn/san-pham/combo-tay-da-chet-toan-than-cocoon-tu-ca-phe-dak-lak-2x200ml-97567.html,Combo Tẩy Da Chết Toàn Thân Cocoon Cà Phê Đắk Lắk 200mlx2,250.000 ₫,195.000 ₫,197,2x200ml,116
25,357100010,89267,https://hasaki.vn/san-pham/sua-duong-the-hatomugi-duong-sang-da-400ml-89267.html,Sữa Dưỡng Thể Hatomugi Làm Sáng Da Ban Đêm 400ml,239.000 ₫,83.000 ₫,461,400ml,45
26,206500009,89161,https://hasaki.vn/san-pham/sap-khu-mui-old-spice-huong-fiji-thu-gian-nhe-nhang-73g-89161.html,Sáp Khử Mùi Old Spice Giảm Tiết Mồ Hôi Hương Fiji 73g,154.000 ₫,129.000 ₫,296,73g,18
27,422201055,91305,https://hasaki.vn/san-pham/kem-duong-the-paula-s-choice-10-aha-lam-sang-da-210ml-91305.html,Kem Dưỡng Thể Paula’s Choice 10% AHA Làm Sáng Da 210ml,950.000 ₫,495.000 ₫,77,210ml,14
28,422208316,102321,https://hasaki.vn/san-pham/sua-tam-hazeline-yen-mach-dau-tam-sang-min-duong-am-1kg-102321.html,Sữa Tắm Hazeline Sáng Mịn Dưỡng Ẩm Yến Mạch & Dâu Tằm 1kg,139.000 ₫,97.000 ₫,382,1kg,3
29,204900145,88667,https://hasaki.vn/san-pham/gel-rua-mat-la-roche-posay-ho-tro-giam-mun-cho-mat-toan-than-400ml-88667.html,Gel Rửa Mặt & Tắm La Roche-Posay Làm Sạch & Giảm Mụn 400ml,640.000 ₫,492.000 ₫,71,400ml,16
30,249500011,12090,https://hasaki.vn/san-pham/sua-chong-nang-sunplay-spf81-bao-ve-da-vuot-troi-70g-12090.html,Sữa Chống Nắng Sunplay Bảo Vệ Vượt Trội SPF81 PA++++ 70g,185.000 ₫,148.000 ₫,232,70g,12
31,100080053,3681,https://hasaki.vn/san-pham/sap-khu-mui-old-spice-huong-pure-sport-nang-dong-85g-3681.html,Sáp Khử Mùi Old Spice Hương Pure Sport Năng Động 85g (Đỏ),130.000 ₫,108.000 ₫,303,85g,27
32,422211239,106639,https://hasaki.vn/san-pham/muoi-tam-a-bonne-sua-bo-tay-da-chet-co-voi-350g-106639.html,Muối Tắm A Bonne Sữa Bò Làm Sáng & Mềm Mịn Da 350g,55.000 ₫,18.000 ₫,1.734,350g,128
33,206500008,89159,https://hasaki.vn/san-pham/sap-khu-mui-old-spice-huong-timber-sang-khoai-tu-tin-73g-89159.html,Sáp Khử Mùi Old Spice Giảm Tiết Mồ Hôi Hương Timber 73g,154.000 ₫,139.000 ₫,223,73g,18
34,208200025,88621,https://hasaki.vn/san-pham/sua-duong-the-vaseline-diu-mat-sang-da-350ml-88621.html,Sữa Dưỡng Thể Vaseline Dịu Mát Sáng Da 350ml,150.000 ₫,99.000 ₫,303,350ml,79
35,422212483,108062,https://hasaki.vn/san-pham/lan-nach-angel-s-liquid-mo-tham-duong-sang-mat-lanh-60ml-108062.html,"Lăn Nách Angel's Liquid Mờ Thâm, Dưỡng Sáng Mát Lạnh 60ml",499.000 ₫,299.000 ₫,97,60ml,23
36,345800038,88525,https://hasaki.vn/san-pham/sua-tam-some-by-mi-lam-giam-mun-400g-88525.html,Sữa Tắm Some By Mi Làm Sạch Mụn Cơ Thể 400g,395.000 ₫,276.000 ₫,103,400g,4
37,357100006,78186,https://hasaki.vn/san-pham/kem-duong-tay-hatomugi-reihaku-65g-78186.html,Kem Dưỡng Tay Hatomugi Cấp Ẩm Mềm Mịn & Ngừa Nếp Nhăn 65g,100.000 ₫,42.000 ₫,641,65g,22
38,422207812,101467,https://hasaki.vn/san-pham/combo-cocoon-tui-refill-tay-da-chet-toan-than-da-mat-101467.html,Combo Cocoon Big Size Tẩy Da Chết Toàn Thân 600ml & Mặt Từ Cà Phê Đắk Lắk 150ml,490.000 ₫,325.000 ₫,82,2 món,122
39,201600049,37752,https://hasaki.vn/san-pham/lan-khu-mui-vichy-kho-thoang-vung-da-duoi-canh-tay-48h-50ml-37752.html,"Lăn Khử Mùi Vichy Ngăn Mồ Hôi, Giữ Khô Thoáng Suốt 48H 50ml",320.000 ₫,262.000 ₫,98,,2
40,213300025,29169,https://hasaki.vn/san-pham/serum-chong-nang-duong-the-biore-khang-bui-lam-sang-da-spf-50-pa-150ml-29169.html,Serum Chống Nắng Dưỡng Thể Bioré Sáng Da Mịn Màng 150ml,216.000 ₫,162.000 ₫,152,150ml,38
41,422215256,112739,https://hasaki.vn/san-pham/sua-tam-johnson-s-adult-tu-hanh-nhan-cho-nguoi-lon-750ml-112739.html,Sữa Tắm Johnson's Adult Từ Hạnh Nhân Cho Người Lớn 750ml,171.000 ₫,133.000 ₫,184,750ml,18
42,256700002,16901,https://hasaki.vn/san-pham/gel-nha-dam-milaganics-duong-am-lam-mem-da-300ml-16901.html,Gel Nha Đam Milaganics Dưỡng Ẩm & Làm Mềm Da 300ml,184.000 ₫,73.000 ₫,334,300ml,25
43,249500025,86811,https://hasaki.vn/san-pham/kem-chong-nang-duong-the-mat-lanh-sunplay-spf-50-pa-150g-86811.html,Lotion Chống Nắng Sunplay Dưỡng Thể Mát Lạnh 150g,219.000 ₫,163.000 ₫,150,150g,28
44,422204624,96215,https://hasaki.vn/san-pham/sua-tam-st-ives-yen-mach-bo-hat-mo-duong-am-da-650ml-96215.html,Sữa Tắm St.Ives Dưỡng Ẩm Da Yến Mạch & Bơ Hạt Mỡ 650ml,180.000 ₫,159.000 ₫,152,650ml,14
45,422205601,97943,https://hasaki.vn/san-pham/sua-tam-goi-cetaphil-diu-nhe-cho-be-400ml-97943.html,Sữa Tắm Gội Cetaphil Dịu Lành Cho Bé 400ml,245.000 ₫,209.000 ₫,113,400ml,1
